Parent Therapy,Therapy exact name and spelling reqd,Image,Description,
Breathwork,Sudarshan Kriya,THRIIVE MODALITIES_BREATHWORK-SUDARSHANA KRIYA.png,"Sudarshan Kriya is a unique, powerful technique of breathing in a rhythmic pattern. These breathing techniques bring one completely into the present moment, harmonizing mind, body and emotions. It aids in eliminating stress, fatigue and negative emotions such as anger, frustration and depression leaving one calm yet energized, focused and yet relaxed.",
,Behavioural Therapy,THRIIVE MODALITIES_BEHAVIORAL THERAPY CATEGORY SYMBOL.png,,
Behavioural Therapy,Cognitive Behavioural Therapy,THRIIVE MODALITIES_BEHAVIORAL THERAPY-COGNITIVE BEHAVIOURAL THERAPY.png,"Cognitive Behavioural Therapy (CBT) is a form of counseling that can help us manage our problems by becoming consciously aware of our patterns and what causes them, thereby changing the way we think and behave. CBT is based on the idea that thoughts, emotions, physical sensations, behaviours and actions are all interconnected. And that by consciously changing a single component of this vicious cycle, all aspects can be improved for a better life. It is most commonly used to treat anxiety and depression, but can be useful for other mental and physical health problems as well.",
Behavioural Therapy,Rational Emotive Behavioural Therapy,THRIIVE MODALITIES_BEHAVIORAL THERAPY-RATIONAL BEHAVIORAL THERAPY.png,"Rational Emotive Behavioural Therapy is an active-directive, solution-oriented therapy that is focused on resolving emotional, cognitive and behavioural problems in individuals. Rational Emotive Behavioural Therapy teaches us to identify, evaluate, dispute, and act against one’s own irrational self- defeating beliefs through the use of reason.",
,Counseling & Consulting,THRIIVE MODALITIES_COUNSELING AND CONSULTING CATEGORY SYMBOL.png,Step 1: Repentance – I’M SORRYStep 2: Ask Forgiveness – PLEASE FORGIVE ME. Step 3: Gratitude – THANK YOU. Step 4: Love – I LOVE YOU!,
Counseling & Consulting,Children’s Counselor,THRIIVE MODALITIES_COUNSELING AND CONSULTING-CHILDRENS COUNSELOR.png,"It helps to release bad memories, cope with negative feeling, gain control on your action and thoughts, recognize your inner strength, reduce stress levels and increase the level of happiness one experiences.",
Counseling & Consulting,Conscious Parenting Counselor,THRIIVE MODALITIES_COUNSELING AND CONSULTING-CONSCIOUS PARENTING COUNSELOR.png,"Conscious Parenting Counselor sets certain beliefs in parents about what children needs to develop.The counselor helps parents to engage and connect with their children using emotionally intelligent discipline choices rather than harsh methods. The therapy supports the bond between parent and child,gives the right to the child to express his feeling, allows a child to grow as he needs to and promotes family harmony.",
Counseling & Consulting,Sex Therapist,THRIIVE MODALITIES_COUNSELING AND CONSULTING-SEX THERAPIST.png,"Sex therapy helps individuals overcome physical, psychological and sexual issues. With the help of sex therapy, which can either be done individually or with one’s partner, one can overcome concerns about sexual functions,sexual feelings and intimacy. Sex therapists tend to have a greater knowledge of the psychological elements which are a part of human sexuality that helps in addressing the entirety of sexual concerns.",
Counseling & Consulting,Marriage Counselor,THRIIVE MODALITIES_COUNSELING AND CONSULTING-MARRIAGE COUNSELOR.png,"Marriage Counselor helps people with relationship problems. He/she can help the couple to work through conflicts and communication gaps and discover various ways to deal with the problem that might arise in the future. A marriage counselor helps reduce the divorce rate, promotes healthy relationships and helps avoid future major problems.",
Counseling & Consulting,Spiritual Counselor,THRIIVE MODALITIES_COUNSELING AND CONSULTING-SPIRITUAL COUNSELOR.png,"A Spiritual Counselor helps the patient to deal with pain, grief,trauma and major difficult decisions keeping the patient’s spiritual growth in mind.The counselor combines spirituality with science while dealing with the client’s problems. By means of this process, the individual quietens the thoughts that are disturbing, finds an alternate way of looking at a situation, gets power from within, and gets the courage to face a problem rather than react to it.",
Counseling & Consulting,Nutritionist,THRIIVE MODALITIES_COUNSELING AND CONSULTING-NUTRITIONIST.png,"A Nutritionist advises on food and nutrition which impacts one’s health. Well-maintained nutrition is important for healthy living and an overall well-being. A nutritionist develops meal goals, educates on portion control and provides special diets for the treatment and prevention of chronic ailments such as diabetes, heart diseases, etc.",
Counseling & Consulting,Life Coach,,"Life Coaching changes the way clients operate at a deeper level. It does not stop at just examining behaviours, habits and goals. Life Coaching facilitates the clients to delve into their deep-rooted beliefs and thought patterns. It also helps them to connect within with their supreme power (Core of Existence). This enables the clients to become aware of their resourcefulness and to be their ‘authentic self’. By doing this, the clients are empowered to adopt new behaviours and take their performance to the next level, thereby functioning from their highest state of abundance.",
